TIMESTAMP,SoilTemp_Inside,SoilTemp_Outside
6/21/19,-0.22,-0.31
6/22/19,-0.16,-0.24
6/23/19,-0.13,-0.2
6/24/19,-0.11,-0.17
6/25/19,-0.09,-0.15
6/26/19,-0.02,-0.09
6/27/19,0.22,0.08
6/28/19,0.36,0.22
6/29/19,0.43,0.37
6/30/19,0.55,0.55
7/1/19,0.86,1.17
7/2/19,1.49,1.96
7/3/19,1.8,2.7
7/4/19,1.96,2.81
7/5/19,2.39,3.03
7/6/19,2.72,3.38
7/7/19,3.43,3.75
7/8/19,3.19,3.56
7/9/19,3.56,3.89
7/10/19,3.35,3.39
7/11/19,2.93,2.85
7/12/19,3.83,3.56
7/13/19,4.52,4.15
7/14/19,4.43,4.35
7/15/19,3.2,3.36
7/16/19,2.82,3.74
7/17/19,2.87,3.62
7/18/19,3.33,3.63
7/19/19,3.12,3.31
7/20/19,3.01,3.31
7/21/19,2.59,3.23
7/22/19,3.05,4.02
7/23/19,3.96,4.71
7/24/19,4.07,4.52
7/25/19,3.76,4.1
7/26/19,3.51,3.86
7/27/19,2.91,3.17
7/28/19,3.12,3.6
7/29/19,3.45,3.95
7/30/19,4.11,4.58
7/31/19,4.2,4.92
8/1/19,4.1,4.76
8/2/19,4.03,4.42
8/3/19,4.02,4.31
8/4/19,3.47,3.59
8/5/19,3.45,3.6
8/6/19,3.44,3.68
8/7/19,3.61,3.85
8/8/19,3.88,4.17
8/9/19,3.54,3.84
8/10/19,3.53,3.72
8/11/19,3.21,3.52
8/12/19,2.89,3.44
8/13/19,2.99,3.85
8/14/19,2.99,3.83
8/15/19,3.02,3.47
8/16/19,3.33,3.32
8/17/19,3.03,2.83
8/18/19,3.18,2.92
8/19/19,3.09,2.92
8/20/19,2.81,2.82
8/21/19,2.5,2.64
8/22/19,2.56,2.84
8/23/19,2.41,2.52
8/24/19,2.46,2.84
8/25/19,2.83,3
8/26/19,2.8,2.92
8/27/19,2.49,2.63
8/28/19,2.4,2.3
8/29/19,2.38,2.32
8/30/19,2.49,2.45
8/31/19,2.57,2.5
9/1/19,2.7,2.34
9/2/19,2.83,2.61
9/3/19,3.24,3.06
9/4/19,3.22,3.34
9/5/19,3.12,3.1
9/6/19,4.08,3.91
9/7/19,4.47,4.4
9/8/19,4.29,4.71
9/9/19,4.5,5.01
9/10/19,4.46,4.43
9/11/19,4.17,4.36
9/12/19,4.07,4.25
9/13/19,3.67,3.57
9/14/19,3.11,2.63
9/15/19,2.88,2.13
9/16/19,2.44,1.57
9/17/19,1.99,1.2
9/18/19,2.01,1.38
9/19/19,2.15,1.47
9/20/19,1.78,0.94
9/21/19,1.71,0.76
9/22/19,1.67,1.26
9/23/19,1.57,1.41
9/24/19,1.37,1.11
9/25/19,1.39,1.09